Last Reported,Status,Type,ID,Dups,Name,vCenter,Datacenter,Cluster,Host,Tag Count,Server Type,Server Status,Server Environment,OS Type,Engagement Manager,Data Center,Clients - A to I,Client Size Class,Application Stack,Application Environment,QAD Support Environmets,Clients - J to Q,Clients - R to Z,DMZ Server,Zerto Protection,Zerto Destination,Clustered Servers
2018/01/10 21:30,1,Native OS,308918.0,No,qvarscildb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Denise Myers,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,"Sancilio & Company, Inc. - 00064806",-,-,-,-
2018/01/10 21:21,1,Native OS,308868.0,No,QVARSCINTS02,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Denise Myers,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,"Sancilio & Company, Inc. - 00064806",-,-,-,-
2018/01/10 21:29,1,Native OS,308862.0,No,QVARSCINTS01,-,-,-,-,10,VMware Virtual Server,Active,Production,Windows,Denise Myers,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,"Sancilio & Company, Inc. - 00064806",-,-,-,-
2018/01/10 21:30,1,Native OS,308729.0,No,qvarspeldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Sagebrush Pipeline Equipment - 00060752,-,-,-,-
2018/01/10 21:30,1,Native OS,308600.0,No,qvarspeldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Sagebrush Pipeline Equipment - 00060752,-,-,-,-
2018/01/10 21:30,1,Native OS,308464.0,No,qvarspeldb01,-,-,-,-,10,VMware Virtual Server,Active,Production,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Sagebrush Pipeline Equipment - 00060752,-,-,-,-
2018/01/10 21:17,1,Native OS,308398.0,No,QVARSPENTS02,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Max Biddle,Arapahoe - ViaWest,-,Class C,Terminal Server,Client,-,-,Sagebrush Pipeline Equipment - 00060752,-,-,-,-
2018/01/10 21:30,1,Native OS,308302.0,No,qvarrxuldb04,-,-,-,-,10,VMware Virtual Server,Active,Migration,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:30,1,Native OS,308144.0,No,qvarrxuldb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Rexel Holdings USA - 00064686,-,Yes,Delong,-
2018/01/10 21:23,1,Native OS,308067.0,No,QVARRXUCEB01,-,-,-,-,12,VMware Virtual Server,Active,Production,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,Cebos,Client,-,-,Rexel Holdings USA - 00064686,-,Yes,Delong,-
