DATE_TIME,STGPOOL_NAME,NODE_NAME,FILESPACE_NAME,FILESPACE_ID,TYPE,PROTECTED_MB,PHYSICAL_MB,TOTAL_SAVED_MB,TOTAL_SAVED_PCT,DEDUP_SAVED_SIZE,DEDUP_PCT,NON_DEDUP_COUNT,NON_DEDUP_SIZE,UNIQUE_COUNT,UNIQUE_SIZE,SHARED_COUNT,SHARED_LOGSIZE,SHARED_PHYSIZE,COMP_SAVED_SIZE,COMP_SAVED_PCT,COMP_COUNT,UNCOMP_COUNT,ENCRYPT_SIZE,ENCRYPT_PCT,ENCRYPT_COUNT,UNENCRYPT_COUNT,REPORT_ID,DESC
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV005,36,Bkup,229519,29175,200345,87.29,126316535343,52.49,5841,2488230,856940,25503825003,794620,141926644479,5085385598,83759925157,73.25,1573130,84271,0,0.00,0,1657401,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV005,36,Bkup,229519,29175,200344,87.29,126316275222,52.49,5841,2488230,856940,25503825003,794620,141926644479,5085588252,83759982624,73.25,1573130,84271,0,0.00,0,1657401,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV005,36,Bkup,219134,25539,193596,88.35,130302879045,56.71,6254,2664060,719017,21757563760,882655,145868474451,5019187636,72696879969,73.08,1523490,84436,0,0.00,0,1607926,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV005,36,Bkup,217021,25156,191864,88.41,130059822777,57.15,4274,1820652,698185,21363823811,877052,145561086392,5012693690,71124512279,72.95,1497063,82448,0,0.00,0,1579511,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV005,36,Bkup,840,31,809,96.37,708171993,80.40,8,3408,435,27218491,11640,717699242,4768167,140645189,81.47,12075,8,0,0.00,0,12083,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV007,37,Bkup,241355,36232,205123,84.99,145988456267,57.68,6622,2820936,818762,34255523167,1854641,153303116624,3734085876,69098198708,64.52,2585588,94437,0,0.00,0,2680025,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV007,37,Bkup,241355,36232,205123,84.99,145988457937,57.68,6622,2820936,818762,34255523167,1854641,153303116624,3734087555,69098195359,64.52,2585588,94437,0,0.00,0,2680025,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV007,37,Bkup,241355,36232,205123,84.99,145988354203,57.68,6622,2820936,818762,34255523167,1854641,153303116624,3734173600,69098213048,64.52,2585588,94437,0,0.00,0,2680025,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV007,37,Bkup,228777,33025,195752,85.56,142644867629,59.46,7054,3004860,724322,31179107385,1829938,149297754289,3446939422,62615793304,64.39,2470189,91125,0,0.00,0,2561314,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV007,37,Bkup,226830,32549,194281,85.65,142489957823,59.91,4644,1978272,702396,30690389305,1825667,149063531364,3437665871,61228441136,64.21,2444002,88705,0,0.00,0,2532707,165,""
