START_TIME,END_TIME,ACTIVITY,ACTIVITY_DETAILS,ACTIVITY_TYPE,NUMBER,ENTITY,AS_ENTITY,SUB_ENTITY,COMMMETH,ADDRESS,SCHEDULE_NAME,EXAMINED,AFFECTED,FAILED,BYTES,BYTES_PROTECTED,BYTES_WRITTEN,DEDUP_SAVINGS,COMP_SAVINGS,IDLE,MEDIAW,PROCESSES,COMPLETION_CODE,SUCCESSFUL,VOLUME_NAME,DRIVE_NAME,LIBRARY_NAME,LAST_USE,COMM_WAIT,NUM_OFFSITE_VOLS,INCIDENT_TYPE,ACKNOWLEDGE,CONTACT
2020-03-15 20:19:06.000000,2020-03-15 20:19:51.000000,BACKUP,SESSION_LIST: 284924,SESSION_END,284924,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37260,"",0,180,0,12234708,12281472,4909796,1046663,6276390,39,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:19:23.000000,2020-03-15 20:20:13.000000,BACKUP,SESSION_LIST: 284934,SESSION_END,284934,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37284,"",0,241,0,16977590,17042276,7203403,609343,9162292,39,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:21:05.000000,2020-03-15 20:21:46.000000,BACKUP,SESSION_LIST: 284946,SESSION_END,284946,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44706,"",0,357,0,25589815,25686168,11063203,662023,13860761,32,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:16:52.000000,2020-03-15 20:22:37.000000,BACKUP,SESSION_LIST: 284873,SESSION_END,284873,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44564,"",0,13,0,88539279,88542906,18018866,3872014,66648256,343,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:13:33.000000,2020-03-15 20:22:43.000000,BACKUP,"SESSION_LIST: 284865,284859",SESSION_END,284859,LIHBG000DV29U,"","",SSL,lihbg000dv29u:56747,LIHBG000DV29U_INCR,794211,194,0,572686300,572756703,66052066,241025626,265617532,456,0,2,0,YES,"","","","",15,"",3,"",""
2020-03-15 20:04:26.000000,2020-03-15 20:22:54.000000,BACKUP,VMware,Incremental Forever - Incremental,284587,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000TGE15,SSL,10.3.60.16:43520,SPVE_SSFDC_SCH01,1,1,0,5259321824,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:19:16.000000,2020-03-15 20:23:05.000000,BACKUP,SESSION_LIST: 284928,SESSION_END,284928,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37270,"",0,5,0,2031671,2033056,230834,68960,1731822,228,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:18:17.000000,2020-03-15 20:23:05.000000,BACKUP,SESSION_LIST: 284909,SESSION_END,284909,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37166,"",0,68,0,292553452,292572424,48297394,36659096,207596214,279,0,1,0,YES,"","","","",2,"","","",""
2020-03-15 20:16:36.000000,2020-03-15 20:23:10.000000,BACKUP,SESSION_LIST: 284872,SESSION_END,284872,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44550,"",0,63,0,291111605,291129182,54452097,34987103,201671712,386,0,1,0,YES,"","","","",1,"","","",""
2020-03-15 20:22:18.000000,2020-03-15 20:23:10.000000,BACKUP,SESSION_LIST: 284953,SESSION_END,284953,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44758,"",0,262,0,18323651,18393129,7610459,1228336,9482095,42,0,1,0,YES,"","","","",0,"","","",""
